feature,importance
cast_pressure,0.42001962737311027
upper_mold_temp1,0.09214498980694857
low_section_speed,0.08050031994777807
lower_mold_temp2,0.07995953775053187
lower_mold_temp1,0.07009002223033546
high_section_speed,0.044227224308502844
upper_mold_temp2,0.041851868925576984
Coolant_temperature,0.04074099524327203
sleeve_temperature,0.031285182938916696
biscuit_thickness,0.02393615077977584
production_cycletime,0.02250515075750546
facility_operation_cycleTime,0.015773876069167504
molten_temp,0.011628972396096188
physical_strength,0.008580914050593004
molten_volume,0.00526117546718957
EMS_operation_time,0.00507623476985168
upper_mold_temp3,0.003966964520243433
lower_mold_temp3,0.0012464642191012173
heating_furnace_encoded,0.0008602862216898768
working_encoded,0.0003440422238134731
line_encoded,0.0
emergency_stop_encoded,0.0
tryshot_signal_encoded,0.0
