feature,importance
cast_pressure,0.026681121420801833
upper_mold_temp1,0.008895039207517932
lower_mold_temp2,0.00845129192834026
low_section_speed,0.008030284401630321
lower_mold_temp1,0.006749288850694896
Coolant_temperature,0.006100530041354383
upper_mold_temp2,0.005745132048214534
sleeve_temperature,0.005175632147388923
facility_operation_cycleTime,0.0029081046959926952
high_section_speed,0.0022966754124823206
biscuit_thickness,0.0021916422468719423
molten_temp,0.0013937416388311377
production_cycletime,0.0013910213694959697
molten_volume,0.000703389124942528
physical_strength,0.0006449580273278665
EMS_operation_time,0.0006368369333409682
upper_mold_temp3,0.00041843395108886154
lower_mold_temp3,0.00010267147797036514
heating_furnace_encoded,7.701550867291753e-05
working_encoded,6.072320168770318e-05
line_encoded,0.0
emergency_stop_encoded,0.0
tryshot_signal_encoded,0.0
